title,category,link
Crushing It!,business,https://www.audible.com/pd/Business/Crushing-It-Audiobook/B0783R9DPV
How to Win Friends & Influence People,business,https://www.audible.com/pd/Business/How-to-Win-Friends-Influence-People-Audiobook/B002V5BV96
The 7 Habits of Highly Effective People,business,https://www.audible.com/pd/Business/The-7-Habits-of-Highly-Effective-People-Audiobook/B002V5HAL4
Extreme Ownership,business,https://www.audible.com/pd/Business/Extreme-Ownership-Audiobook/B015TVHUA2
Never Split the Difference,business,https://www.audible.com/pd/Business/Never-Split-the-Difference-Audiobook/B01CF5O89G
Principles,business,https://www.audible.com/pd/Business/Principles-Audiobook/B074B29GQJ
Start with Why,business,https://www.audible.com/pd/Business/Start-with-Why-Audiobook/B074VDVHZ5
Rich Dad Poor Dad,business,https://www.audible.com/pd/Business/Rich-Dad-Poor-Dad-Audiobook/B008BT3C1Q
Building a StoryBrand,business,https://www.audible.com/pd/Business/Building-a-StoryBrand-Audiobook/B072PRFBPQ
Rise and Grind,business,https://www.audible.com/pd/Business/Rise-and-Grind-Audiobook/B077F87XML
48 Laws of Power,business,https://www.audible.com/pd/Business/48-Laws-of-Power-Audiobook/B00WYDJ2YQ
You Are a Badass at Making Money,business,https://www.audible.com/pd/Business/You-Are-a-Badass-at-Making-Money-Audiobook/B01N9EC5T7
Think and Grow Rich,business,https://www.audible.com/pd/Business/Think-and-Grow-Rich-Audiobook/B002V5D950
The Total Money Makeover,business,https://www.audible.com/pd/Business/The-Total-Money-Makeover-Audiobook/B002UUKIR8
Leaders Eat Last,business,https://www.audible.com/pd/Business/Leaders-Eat-Last-Audiobook/B00HNVT3N4
Way of the Wolf,business,https://www.audible.com/pd/Business/Way-of-the-Wolf-Audiobook/B07235B2FT
Peak Performance,business,https://www.audible.com/pd/Business/Peak-Performance-Audiobook/B071ZSYCXB
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",business,https://www.audible.com/pd/Business/The-4-Hour-Workweek-Escape-9-5-Live-Anywhere-and-Join-the-New-Rich-Expanded-and-Updated-Audiobook/B0031AS3BE
Influence,business,https://www.audible.com/pd/Business/Influence-Audiobook/B01KWAPBHE
High Performance Habits,business,https://www.audible.com/pd/Business/High-Performance-Habits-Audiobook/B076BXLDVP
The Culture Code,business,https://www.audible.com/pd/Business/The-Culture-Code-Audiobook/B077BPKPZQ
The Intelligent Investor Rev Ed.,business,https://www.audible.com/pd/Business/The-Intelligent-Investor-Rev-Ed-Audiobook/B00V95QQXA
Crucial Conversations,business,https://www.audible.com/pd/Business/Crucial-Conversations-Audiobook/B009RQZDHS
Good to Great,business,https://www.audible.com/pd/Business/Good-to-Great-Audiobook/B003UDDK7O
Sell or Be Sold: How to Get Your Way in Business and in Life,business,https://www.audible.com/pd/Business/Sell-or-Be-Sold-How-to-Get-Your-Way-in-Business-and-in-Life-Audiobook/B00JTZP29G
MONEY Master the Game,business,https://www.audible.com/pd/Business/MONEY-Master-the-Game-Audiobook/B00OPAR4MI
Misbehaving,business,https://www.audible.com/pd/Business/Misbehaving-Audiobook/B00VQTE4OC
The ONE Thing,business,https://www.audible.com/pd/Business/The-ONE-Thing-Audiobook/B00FPMTFRM
Radical Candor,business,https://www.audible.com/pd/Business/Radical-Candor-Audiobook/B01MZ6RMS4
Get Over Your Damn Self,business,https://www.audible.com/pd/Business/Get-Over-Your-Damn-Self-Audiobook/B076FF6X9H
The Richest Man in Babylon,business,https://www.audible.com/pd/Business/The-Richest-Man-in-Babylon-Audiobook/B00DC8GDVC
Exactly What to Say,business,https://www.audible.com/pd/Business/Exactly-What-to-Say-Audiobook/B077Z8S58Y
The Simple Path to Wealth,business,https://www.audible.com/pd/Business/The-Simple-Path-to-Wealth-Audiobook/B071P3SQ2Z
Crush It!,business,https://www.audible.com/pd/Business/Crush-It-Audiobook/B0032G7016
The E-Myth Revisited,business,https://www.audible.com/pd/Business/The-E-Myth-Revisited-Audiobook/B002V1LGZE
Getting Things Done,business,https://www.audible.com/pd/Business/Getting-Things-Done-Audiobook/B01B6WSMHI
The Lean Startup,business,https://www.audible.com/pd/Business/The-Lean-Startup-Audiobook/B005LXV0HI
The Five Dysfunctions of a Team,business,https://www.audible.com/pd/Business/The-Five-Dysfunctions-of-a-Team-Audiobook/B002V08E64
The Millionaire Next Door,business,https://www.audible.com/pd/Business/The-Millionaire-Next-Door-Audiobook/B002UZKJSG
Lean In,business,https://www.audible.com/pd/Business/Lean-In-Audiobook/B00B3YURD2
The Hard Thing About Hard Things,business,https://www.audible.com/pd/Business/The-Hard-Thing-About-Hard-Things-Audiobook/B00I0AJC2Y
The Tipping Point,business,https://www.audible.com/pd/Business/The-Tipping-Point-Audiobook/B002V0A7U0
Fanatical Prospecting,business,https://www.audible.com/pd/Business/Fanatical-Prospecting-Audiobook/B01HMUW83W
Traction,business,https://www.audible.com/pd/Business/Traction-Audiobook/B00A9ZO7T6
Zero to One,business,https://www.audible.com/pd/Business/Zero-to-One-Audiobook/B00M27LBU2
Thinking in Bets,business,https://www.audible.com/pd/Business/Thinking-in-Bets-Audiobook/B078SDRSGX
The Phoenix Project,business,https://www.audible.com/pd/Business/The-Phoenix-Project-Audiobook/B00VAZZY32
"The 21 Irrefutable Laws of Leadership, 10th Anniversary Edition",business,https://www.audible.com/pd/Business/The-21-Irrefutable-Laws-of-Leadership-10th-Anniversary-Edition-Audiobook/B008KP5K5W
Go Pro - 7 Steps to Becoming a Network Marketing Professional,business,https://www.audible.com/pd/Business/Go-Pro-7-Steps-to-Becoming-a-Network-Marketing-Professional-Audiobook/B00F52CCKE
Find Your Why,business,https://www.audible.com/pd/Business/Find-Your-Why-Audiobook/B074F3SNZY
Algorithms to Live By,business,https://www.audible.com/pd/Business/Algorithms-to-Live-By-Audiobook/B01D24NLWO
On Grand Strategy,business,https://www.audible.com/pd/Business/On-Grand-Strategy-Audiobook/B07BGG8SMR
The Book on Rental Property Investing,business,https://www.audible.com/pd/Business/The-Book-on-Rental-Property-Investing-Audiobook/B0195LQYF4
Profit First,business,https://www.audible.com/pd/Business/Profit-First-Audiobook/B06X15WX5B
Smarter Faster Better,business,https://www.audible.com/pd/Business/Smarter-Faster-Better-Audiobook/B017WRZO9U
The Four,business,https://www.audible.com/pd/Business/The-Four-Audiobook/B0756618P6
The Coaching Habit,business,https://www.audible.com/pd/Business/The-Coaching-Habit-Audiobook/B01HH7JGD0
Getting to Yes,business,https://www.audible.com/pd/Business/Getting-to-Yes-Audiobook/B004X1T8G4
Invested,business,https://www.audible.com/pd/Business/Invested-Audiobook/B0797BLXD4
Rich Dad's Cashflow Quadrant,business,https://www.audible.com/pd/Business/Rich-Dads-Cashflow-Quadrant-Audiobook/B009P8K404
The Goal,business,https://www.audible.com/pd/Business/The-Goal-Audiobook/B00IFG88SM
The Millionaire Real Estate Agent,business,https://www.audible.com/pd/Business/The-Millionaire-Real-Estate-Agent-Audiobook/B002V0QQ1E
The Big Short,business,https://www.audible.com/pd/Business/The-Big-Short-Audiobook/B003B2ZV8K
Secrets of the Millionaire Mind,business,https://www.audible.com/pd/Business/Secrets-of-the-Millionaire-Mind-Audiobook/B01F7O1FHK
The Closer's Survival Guide - Third Edition,business,https://www.audible.com/pd/Business/The-Closers-Survival-Guide-Third-Edition-Audiobook/B00K0SEASU
Drive,business,https://www.audible.com/pd/Business/Drive-Audiobook/B002ZF14MG
The 4 Disciplines of Execution,business,https://www.audible.com/pd/Business/The-4-Disciplines-of-Execution-Audiobook/B00DD0846Q
Soar!,business,https://www.audible.com/pd/Business/Soar-Audiobook/B075QPRDSH
The Magic of Thinking Big,business,https://www.audible.com/pd/Business/The-Magic-of-Thinking-Big-Audiobook/B015EXHPCI
How to Day Trade for a Living,business,https://www.audible.com/pd/Business/How-to-Day-Trade-for-a-Living-Audiobook/B074TRRNFQ
Good Leaders Ask Great Questions,business,https://www.audible.com/pd/Business/Good-Leaders-Ask-Great-Questions-Audiobook/B00NT9CPFM
The Ideal Team Player,business,https://www.audible.com/pd/Business/The-Ideal-Team-Player-Audiobook/B01EGCAWQO
The Power of Broke,business,https://www.audible.com/pd/Business/The-Power-of-Broke-Audiobook/B01KOXW61I
The Happiness Advantage,business,https://www.audible.com/pd/Business/The-Happiness-Advantage-Audiobook/B0041NZRDC
The Power of a Positive No,business,https://www.audible.com/pd/Business/The-Power-of-a-Positive-No-Audiobook/B002V59VKC
The Black Swan,business,https://www.audible.com/pd/Business/The-Black-Swan-Audiobook/B002V5BGUA
Originals,business,https://www.audible.com/pd/Business/Originals-Audiobook/B01A7Q6672
The Challenger Sale,business,https://www.audible.com/pd/Business/The-Challenger-Sale-Audiobook/B0073JS57G
"The First 90 Days, Updated and Expanded",business,https://www.audible.com/pd/Business/The-First-90-Days-Updated-and-Expanded-Audiobook/B00CDVYKUA
The Excellence Dividend,business,https://www.audible.com/pd/Business/The-Excellence-Dividend-Audiobook/B079J5GHPZ
"The Go-Giver, Expanded Edition",business,https://www.audible.com/pd/Business/The-Go-Giver-Expanded-Edition-Audiobook/B0168Y78NI
"Creativity, Inc.",business,https://www.audible.com/pd/Business/Creativity-Inc-Audiobook/B00IPK3BWQ
Set for Life,business,https://www.audible.com/pd/Business/Set-for-Life-Audiobook/B0727VSPKZ
Eat That Frog!,business,https://www.audible.com/pd/Business/Eat-That-Frog-Audiobook/B002V02HTE
Developing the Leader Within You 2.0,business,https://www.audible.com/pd/Business/Developing-the-Leader-Within-You-20-Audiobook/B0786WJCDC
Law School for Everyone,business,https://www.audible.com/pd/Business/Law-School-for-Everyone-Audiobook/B0758MV7WM
Triggers,business,https://www.audible.com/pd/Business/Triggers-Audiobook/B00UKG1SCI
Great at Work,business,https://www.audible.com/pd/Business/Great-at-Work-Audiobook/B077H53D75
The New One Minute Manager,business,https://www.audible.com/pd/Business/The-New-One-Minute-Manager-Audiobook/B00UX8MICW
The Motivation Myth,business,https://www.audible.com/pd/Business/The-Motivation-Myth-Audiobook/B078KNWTHK
The 1-Page Marketing Plan,business,https://www.audible.com/pd/Business/The-1-Page-Marketing-Plan-Audiobook/B01KOQW7HI
The DevOps Handbook,business,https://www.audible.com/pd/Business/The-DevOps-Handbook-Audiobook/B0767HHZLZ
Pitch Anything,business,https://www.audible.com/pd/Business/Pitch-Anything-Audiobook/B00B3XOPVI
Pre-Suasion,business,https://www.audible.com/pd/Business/Pre-Suasion-Audiobook/B01JB2JQE8
Team of Teams,business,https://www.audible.com/pd/Business/Team-of-Teams-Audiobook/B00UVX3HRE
Leadership & Self-Deception,business,https://www.audible.com/pd/Business/Leadership-Self-Deception-Audiobook/B0086794IS
The Advantage,business,https://www.audible.com/pd/Business/The-Advantage-Audiobook/B007JWQ254
Presence,business,https://www.audible.com/pd/Business/Presence-Audiobook/B01944W5GY
Accelerate: Building and Scaling High Performing Technology Organizations,business,https://www.audible.com/pd/Business/Accelerate-Building-and-Scaling-High-Performing-Technology-Organizations-Audiobook/B07BLZDZFQ
Powerful: Building a Culture of Freedom and Responsibility,business,https://www.audible.com/pd/Business/Powerful-Building-a-Culture-of-Freedom-and-Responsibility-Audiobook/B078F6154Q
How Great Leaders Inspire Action,business,https://www.audible.com/pd/Business/How-Great-Leaders-Inspire-Action-Audiobook/B015GCYC4G
The Millionaire Real Estate Investor,business,https://www.audible.com/pd/Business/The-Millionaire-Real-Estate-Investor-Audiobook/B002V8L18O
Millionaire Success Habits,business,https://www.audible.com/pd/Business/Millionaire-Success-Habits-Audiobook/B072YQY532
#GIRLBOSS,business,https://www.audible.com/pd/Business/GIRLBOSS-Audiobook/B00K36M20C
Scrum,business,https://www.audible.com/pd/Business/Scrum-Audiobook/B00NJ3WS9G
The 7 Habits of Highly Effective People & The 8th Habit (Special 3-Hour Abridgement),business,https://www.audible.com/pd/Business/The-7-Habits-of-Highly-Effective-People-The-8th-Habit-Special-3-Hour-Abridgement-Audiobook/B002V1NKLW
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,business,https://www.audible.com/pd/Business/The-Millionaire-Fastlane-Crack-the-Code-to-Wealth-and-Live-Rich-for-a-Lifetime-Audiobook/B0143BEDUO
What Every BODY Is Saying,business,https://www.audible.com/pd/Business/What-Every-BODY-Is-Saying-Audiobook/B006ZAR44Y
The 12 Week Year,business,https://www.audible.com/pd/Business/The-12-Week-Year-Audiobook/B00KLJWPIA
#AskGaryVee,business,https://www.audible.com/pd/Business/AskGaryVee-Audiobook/B01A5UKXGA
The Greatest Salesman in the World,business,https://www.audible.com/pd/Business/The-Greatest-Salesman-in-the-World-Audiobook/B01LZNGDIW
The $100 Startup,business,https://www.audible.com/pd/Business/The-100-Startup-Audiobook/B008165WSK
Entreleadership,business,https://www.audible.com/pd/Business/Entreleadership-Audiobook/B005N0KQ24
How I Raised Myself from Failure to Success in Selling,business,https://www.audible.com/pd/Business/How-I-Raised-Myself-from-Failure-to-Success-in-Selling-Audiobook/B01M5KTF4J
The Checklist Manifesto,business,https://www.audible.com/pd/Business/The-Checklist-Manifesto-Audiobook/B0030ZYDD2
So Good They Can't Ignore You,business,https://www.audible.com/pd/Business/So-Good-They-Cant-Ignore-You-Audiobook/B00995OX28
