title,category,link
Sapiens,history,https://www.audible.com/pd/History/Sapiens-Audiobook/B0741G911Q
The Radical King,history,https://www.audible.com/pd/History/The-Radical-King-Audiobook/B0799SY5F9
Killers of the Flower Moon,history,https://www.audible.com/pd/History/Killers-of-the-Flower-Moon-Audiobook/B01NAEEJJV
The Devil in the White City,history,https://www.audible.com/pd/History/The-Devil-in-the-White-City-Audiobook/B002V0Q0LK
The Art of War,history,https://www.audible.com/pd/History/The-Art-of-War-Audiobook/B00URXOQ1E
Tribe,history,https://www.audible.com/pd/History/Tribe-Audiobook/B01D57FN3I
12 Strong,history,https://www.audible.com/pd/History/12-Strong-Audiobook/B004VFQGRQ
Between the World and Me,history,https://www.audible.com/pd/Bios-Memoirs/Between-the-World-and-Me-Audiobook/B010N1IC5A
A Short History of Nearly Everything,history,https://www.audible.com/pd/History/A-Short-History-of-Nearly-Everything-Audiobook/B002V0KFPW
Alone,history,https://www.audible.com/pd/History/Alone-Audiobook/B075QJCQ89
The Right Stuff,history,https://www.audible.com/pd/History/The-Right-Stuff-Audiobook/B077K8CR41
Hidden Figures,history,https://www.audible.com/pd/History/Hidden-Figures-Audiobook/B01I28NTJU
The Other America - A Speech from The Radical King (Free),history,https://www.audible.com/pd/History/The-Other-America-A-Speech-from-The-Radical-King-Free-Audiobook/B0799S4HQ6
"Guns, Germs and Steel",history,https://www.audible.com/pd/History/Guns-Germs-and-Steel-Audiobook/B004G7VN04
The Boys in the Boat,history,https://www.audible.com/pd/History/The-Boys-in-the-Boat-Audiobook/B00D3PBYAE
Code Girls,history,https://www.audible.com/pd/History/Code-Girls-Audiobook/B075QPGYYH
Matriarch,history,https://www.audible.com/pd/Bios-Memoirs/Matriarch-Audiobook/B06Y48TGQC
A People's History of the United States,history,https://www.audible.com/pd/History/A-Peoples-History-of-the-United-States-Audiobook/B0030H777E
Chappaquiddick,history,https://www.audible.com/pd/Bios-Memoirs/Chappaquiddick-Audiobook/B07BMH83JB
Alexander the Great,history,https://www.audible.com/pd/Bios-Memoirs/Alexander-the-Great-Audiobook/B06XGM1X1D
The Triumph of Christianity,history,https://www.audible.com/pd/History/The-Triumph-of-Christianity-Audiobook/B071JMPRTH
Unbroken,history,https://www.audible.com/pd/Bios-Memoirs/Unbroken-Audiobook/B004BAUKFK
Benjamin Franklin: An American Life,history,https://www.audible.com/pd/Bios-Memoirs/Benjamin-Franklin-An-American-Life-Audiobook/B004VA8ZVQ
"The Gulag Archipelago, Volume l",history,https://www.audible.com/pd/History/The-Gulag-Archipelago-Volume-l-Audiobook/B005JZIYI6
The Color of Law,history,https://www.audible.com/pd/History/The-Color-of-Law-Audiobook/B0747SYKJF
Debt - Updated and Expanded,history,https://www.audible.com/pd/History/Debt-Updated-and-Expanded-Audiobook/B015CYJGXA
Directorate S,history,https://www.audible.com/pd/History/Directorate-S-Audiobook/B075DJYSCT
The Operator,history,https://www.audible.com/pd/Bios-Memoirs/The-Operator-Audiobook/B01N6XS0HX
Washington: A Life,history,https://www.audible.com/pd/Bios-Memoirs/Washington-A-Life-Audiobook/B0044EMDEO
The Big Short,history,https://www.audible.com/pd/Business/The-Big-Short-Audiobook/B003B2ZV8K
The Great Influenza,history,https://www.audible.com/pd/History/The-Great-Influenza-Audiobook/B002UZLF8Y
The Square and the Tower,history,https://www.audible.com/pd/History/The-Square-and-the-Tower-Audiobook/B078PT8T2G
Endurance,history,https://www.audible.com/pd/History/Endurance-Audiobook/B002V9ZA6C
The Lost City of the Monkey God,history,https://www.audible.com/pd/History/The-Lost-City-of-the-Monkey-God-Audiobook/B01MRR1WCU
Killing England,history,https://www.audible.com/pd/History/Killing-England-Audiobook/B072N6C9DW
Team of Rivals,history,https://www.audible.com/pd/Bios-Memoirs/Team-of-Rivals-Audiobook/B00518NLX4
The Storm Before the Storm,history,https://www.audible.com/pd/History/The-Storm-Before-the-Storm-Audiobook/B0747WH1RK
The Looming Tower,history,https://www.audible.com/pd/History/The-Looming-Tower-Audiobook/B072HMNYKM
The Battle of Britain,history,https://www.audible.com/pd/History/The-Battle-of-Britain-Audiobook/B075K3TXXY
Get Well Soon,history,https://www.audible.com/pd/History/Get-Well-Soon-Audiobook/B01MTC3V6Y
Lost to the West,history,https://www.audible.com/pd/History/Lost-to-the-West-Audiobook/B002V19ZPM
1776,history,https://www.audible.com/pd/History/1776-Audiobook/B002V8KSTW
The Radium Girls,history,https://www.audible.com/pd/History/The-Radium-Girls-Audiobook/B06ZXTMXSH
Genghis Khan and the Making of the Modern World,history,https://www.audible.com/pd/Bios-Memoirs/Genghis-Khan-and-the-Making-of-the-Modern-World-Audiobook/B00375PP4Q
With the Old Breed,history,https://www.audible.com/pd/Bios-Memoirs/With-the-Old-Breed-Audiobook/B00FOX9E2S
Undaunted Courage,history,https://www.audible.com/pd/History/Undaunted-Courage-Audiobook/B002V0QS0I
The Trial of Socrates,history,https://www.audible.com/pd/History/The-Trial-of-Socrates-Audiobook/B01I4090WQ
1453,history,https://www.audible.com/pd/History/1453-Audiobook/B01JB4JTUM
Spartan Warfare,history,https://www.audible.com/pd/History/Spartan-Warfare-Audiobook/B01B8IROXI
Defining Moments in Black History,history,https://www.audible.com/pd/History/Defining-Moments-in-Black-History-Audiobook/B0742GWV5X
Titan,history,https://www.audible.com/pd/Bios-Memoirs/Titan-Audiobook/B00ECGLKLG
Rocket Men,history,https://www.audible.com/pd/History/Rocket-Men-Audiobook/B002UZZDYQ
"Roman Emperors - Good, Bad, and Crazy",history,https://www.audible.com/pd/History/Roman-Emperors-Good-Bad-and-Crazy-Audiobook/B01B8IREGU
Indestructible,history,https://www.audible.com/pd/Bios-Memoirs/Indestructible-Audiobook/B01K8QAD34
