title,category,makesense
Darker,Erotica,0
Twist Me: The Complete Trilogy,Erotica,0
Beautiful Bastard,Erotica,0
Reflected in You,Erotica,0
Wicked Favor,Erotica,0
Zane's The Other Side of the Pillow,Erotica,0
Lady Luck,Erotica,0
Motorcycle Man,Erotica,0
The Gamble,Erotica,0
The Warlord Wants Forever,Erotica,0
Brie Learns the Art of Submission: Submissive Training Center (Volume 1),Erotica,0
Mia & Korum,Erotica,0
Timber,Erotica,0
Fixed on You,Erotica,0
Own the Wind,Erotica,0
Delivered Through the Storm,Erotica,0
Vengeance,Erotica,0
Dirty,Erotica,1
The Alpha Billionaire Romance Series Complete Boxed Set,Erotica,1
Smiley,Erotica,0
Fire Inside,Erotica,1
The Blackbirds,Erotica,0
Wrath,Erotica,0
Numbers,Erotica,0
Try,Erotica,0
Fury,Erotica,0
Forever with You,Erotica,1
Found in You,Erotica,1
Taken by Her Mates,Erotica,1
Not Safe for Work,Erotica,0
The Deep End,Erotica,0
Slade,Erotica,0
The Sassy Submissive,Erotica,1
Filthy Beautiful Lust,Erotica,1
This Man,Erotica,0
Tied with Me,Erotica,0
Brie Embraces the Heart of Submission,Erotica,1
The Virgin and the Beast,Erotica,1
TRUE,Erotica,0
Capture Me,Erotica,1
Missing from Me,Erotica,0
Club Shadowlands,Erotica,0
Absolution,Erotica,0
Alpha,Erotica,0
Quintessentially Q,Erotica,0
The Terms: Part Two,Erotica,0
Captive in the Dark,Erotica,1
Servicing the Target,Erotica,0
Tom Clancy: Power and Empire,Military,0
The Innocent: A Novel,Military,0
Crusader One,Military,1
Typhoon Fury,Military,0
Last Stand: The Complete Box Set,Military,0
Breakthrough,Military,0
War Shadows,Military,0
The Hunt for Red October,Military,0
Tom Clancy True Faith and Allegiance,Military,0
The Escape Artist,Military,0
Foreign and Domestic,Military,0
Leap,Military,0
Death at Nuremberg,Military,0
Black Site,Military,0
Tom Clancy Under Fire,Military,0
Full Force and Effect,Military,0
Tom Clancy Duty and Honor,Military,0
The Woman Left Behind,Military,1
The Broker,Military,0
Light It Up,Military,0
Threat Vector,Military,0
Odessa Sea,Military,0
Execute Authority,Military,0
Foreign Agent,Military,0
The Kremlin Conspiracy,Military,0
Tom Clancy Support and Defend,Military,0
The Drifter,Military,0
Betrayal,Military,0
Shattered Lies,Military,0
Code of Conduct,Military,0
Full Assault Mode,Military,0
Piercing the Darkness,Military,0
Besieged,Military,0
Trackers 3: The Storm,Military,0
The Frozen Hours,Military,0
Direct Fire,Military,0
One Killer Force,Military,1
The Bone Labyrinth,Military,0
Against All Enemies,Military,1
Act of War,Military,1
Ring of Fire,Military,0
The Goddess Legacy,Military,0
Three Minutes to Midnight,Military,0
Ghost Sniper,Military,1
"The Brady Hawk Series, Books 1-3",Military,0
Burning Bright,Military,0
Oath of Office,Military,0
Overwatch,Military,0
President Elect,Military,0
The Trident Deception,Military,0
Ready Player One,SciFi,0
Artemis,SciFi,0
The Hobbit,SciFi,0
Iron Gold,SciFi,0
Year One,SciFi,0
The Left Hand of Darkness,SciFi,0
Oathbringer,SciFi,0
A Game of Thrones,SciFi,0
Brave New World,SciFi,0
Anansi Boys,SciFi,0
Dungeon Calamity,SciFi,0
Zero Hour,SciFi,0
The Way of Kings,SciFi,0
The Collapsing Empire,SciFi,0
Children of Time,SciFi,0
Norse Mythology,SciFi,0
Age of Myth,SciFi,0
The Name of the Wind,SciFi,0
The Fellowship of the Ring,SciFi,0
Words of Radiance,SciFi,0
Red Rising,SciFi,0
The Fold,SciFi,0
A Clash of Kings,SciFi,1
The Martian,SciFi,0
Dungeon Born,SciFi,0
A Storm of Swords,SciFi,0
A Feast for Crows,SciFi,0
A Dance with Dragons,SciFi,0
We Are Legion (We Are Bob),SciFi,0
Will Save the Galaxy for Food,SciFi,1
Hell Divers,SciFi,0
1984,SciFi,0
All These Worlds,SciFi,0
Outlander,SciFi,0
Armada,SciFi,0
The Land: Founding: A LitRPG Saga,SciFi,0
A Gift of Time,SciFi,1
The Two Towers,SciFi,0
Columbus Day,SciFi,0
Ubik,SciFi,0
The Land: Raiders: A LitRPG Saga,SciFi,0
For We Are Many,SciFi,0
The Spaceship Next Door,SciFi,0
God Touched,SciFi,0
Steelheart,SciFi,0
The Hitchhiker's Guide to the Galaxy,SciFi,1
The Emperor's Soul,SciFi,0
Dune,SciFi,0
The Stand,SciFi,0
Battle Mage,SciFi,0
Sweet Obsession,Erotica,0
The Billionaire's Salvation,Erotica,0
Rough,Erotica,0
Revealed,Erotica,0
Fueled,Erotica,0
The Shadow Wife,Erotica,0
Seduced in the Dark,Erotica,0
Legal Affairs,Erotica,0
Twist Me,Erotica,0
The Master,Erotica,0
Broken Course,Erotica,0
Buried Threads,Erotica,0
Turbulence,Erotica,0
The Player,Erotica,0
Brie Masters Love in Submission: Submissive in Love (Volume 3),Erotica,0
Never Too Far,Erotica,0
The Hot Box,Erotica,0
Stand Off,Erotica,0
Heart Of The Billionaire,Erotica,0
Confessions of a Litigation God: A Legal Affairs Full Length Erotic Novel,Erotica,0
Hannah's Warrior,Erotica,0
Their Virgin Mistress,Erotica,0
Night Is Darkest,Erotica,0
Beholden,Erotica,0
Sterile Fields,Erotica,0
Wicked Bond,Erotica,0
Cincuenta Sombras de Grey [Fifty Shades of Grey],Erotica,0
His Purrfect Mate,Erotica,0
All I Want,Erotica,0
Incandescent,Erotica,0
Seduction in Session,Erotica,0
To Command and Collar,Erotica,0
Mating Brand,Erotica,0
Reaper's Fall,Erotica,0
Tyrant,Erotica,0
Breaking Free,Erotica,0
Enthrall,Erotica,0
Filthy Beautiful Love,Erotica,0
Reaper's Fire,Erotica,0
Bind Me,Erotica,0
Crashed,Erotica,0
Cornering Carmen,Erotica,0
One Night: Denied,Erotica,0
Hudson,Erotica,0
Vandal,Erotica,0
Until November,Erotica,0
My Liege of Dark Haven,Erotica,0
If Only,Erotica,0
Nauti Boy,Erotica,0
The Krinar Captive,Erotica,0
Ghosts of War,Military,0
Bunker,Military,0
Oath of Honor,Military,0
Bunker,Military,0
The Third Target,Military,0
Killing Pablo,Military,0
Forbidden Island,Military,0
No Fortunate Son,Military,0
The 6th Extinction,Military,0
Semper Fi,Military,0
